FLOW serial number,FLOW source,FLOW destination,FLOW duration,FLOW packet count,FLOW bytes count,FLOW TX time difference median,FLOW TX time difference variance,FLOW packet length median,FLOW packet length variance,FLOW to router or broadcast,FLOW answer count,FLOW answer length median,FLOW answer length variance,FLOW response time median,FLOW response time variance,FLOW label
2.1,b8:27:eb:f7:fc:f5,ff:ff:ff:ff:ff:ff,0.916673,12,504,0.083333,8.69917355371843E-11,42,0,1,11,42,0,0.003999,7.26925619834708E-10,0
53.1,b8:27:eb:f7:fc:f5,ff:ff:ff:ff:ff:ff,0.978726,47,1974,0.021277,3.38790170132317E-11,42,0,1,46,42,0,0.0008785,1.88430279253308E-06,0
71.1,b8:27:eb:f7:fc:f5,ff:ff:ff:ff:ff:ff,0.970545,34,9724,0.02941,1.20490358126719E-10,286,0,1,33,342,0,0.008016,5.85171572084481E-07,0
18.1,b8:27:eb:f7:fc:f5,ff:ff:ff:ff:ff:ff,0.80002,5,210,0.2000075,9.44999999999808E-11,42,0,1,5,42,0,0.004094,6.7015852E-06,0
51.1,b8:27:eb:f7:fc:f5,ff:ff:ff:ff:ff:ff,0.999978,15,4290,0.071427,8.185714285714E-11,286,0,1,14,342,0,0.0111,8.74924515306122E-07,0
80.1,b8:27:eb:f7:fc:f5,ff:ff:ff:ff:ff:ff,0.857154,13,546,0.071428,6.75833333333367E-11,42,0,1,13,42,0,0.003985,5.77893254437871E-08,0
76.1,b8:27:eb:f7:fc:f5,ff:ff:ff:ff:ff:ff,0.973691,38,10868,0.026316,8.759386413441E-11,286,0,1,37,342,0,0.008019,8.06562086194303E-07,0
35.1,b8:27:eb:f7:fc:f5,ff:ff:ff:ff:ff:ff,0.977282,44,1848,0.022727,2.30405624661983E-11,42,0,1,43,42,0,0.000874,3.35396657652785E-08,0
31.1,b8:27:eb:f7:fc:f5,ff:ff:ff:ff:ff:ff,0.933322,15,4290,0.066668,1.47265306122441E-10,286,0,1,14,342,0,0.011126,3.80011839285714E-06,0
15.1,b8:27:eb:f7:fc:f5,ff:ff:ff:ff:ff:ff,0.972214,36,10296,0.027778,1.03733877551017E-10,286,0,1,35,342,0,0.007995,2.15846303346939E-06,0
50.1,b8:27:eb:f7:fc:f5,ff:ff:ff:ff:ff:ff,0.975608,41,1722,0.02439,1.25410000000002E-10,42,0,1,40,42,0,0.0008685,3.144922734375E-06,0
47.1,b8:27:eb:f7:fc:f5,ff:ff:ff:ff:ff:ff,0.976191,42,12012,0.02381,7.67852468768546E-11,286,0,1,41,342,0,0.008041,3.35830939904818E-05,0
60.1,b8:27:eb:f7:fc:f5,ff:ff:ff:ff:ff:ff,0.97298,37,10582,0.027028,1.07728395061723E-10,286,0,1,36,342,0,0.008039,6.8644537654321E-07,0
15.1,b8:27:eb:f7:fc:f5,ff:ff:ff:ff:ff:ff,0.972229,36,10296,0.027778,2.11134693877539E-11,286,0,1,35,342,0,0.008032,1.22403334481633E-05,0
30.1,b8:27:eb:f7:fc:f5,ff:ff:ff:ff:ff:ff,0.979591,49,2058,0.020408,5.11662326388899E-11,42,0,1,48,42,0,0.0009035,2.45422966666667E-06,0
86.1,b8:27:eb:f7:fc:f5,ff:ff:ff:ff:ff:ff,0.666679,3,126,0.3333395,1.56249999999966E-10,42,0,1,3,42,0,0.004058,1.48888888888888E-09,0
87.1,b8:27:eb:f7:fc:f5,ff:ff:ff:ff:ff:ff,0.967701,31,1302,0.0322575,1.07743333333329E-10,42,0,1,30,42,0,0.000889,9.05112298888889E-07,0
99.1,b8:27:eb:f7:fc:f5,ff:ff:ff:ff:ff:ff,0.99999,11,462,0.099999,1.56000000000062E-10,42,0,1,3,42,0,0.05216,0.000607002820667,1
99.2,b8:27:eb:f9:00:d6,ff:ff:ff:ff:ff:ff,0.996533,146,41756,0.005671,3.81956444369084E-05,286,0,1,0,0,0,0,0,1
1.1,b8:27:eb:f7:fc:f5,ff:ff:ff:ff:ff:ff,0.976194,42,1764,0.02381,2.89696609161192E-11,42,0,1,41,42,0,0.000877,1.50087237953599E-06,0
24.1,b8:27:eb:f7:fc:f5,ff:ff:ff:ff:ff:ff,0.944426,18,5148,0.055554,1.20484429065741E-10,286,0,1,17,342,0,0.011077,1.94327061591696E-06,0
44.1,b8:27:eb:f7:fc:f5,ff:ff:ff:ff:ff:ff,0.928599,27,7722,0.0357155,8.18417159763277E-11,286,0,1,27,342,0,0.008029,1.72162624965706E-06,0
