FLOW serial number,FLOW source,FLOW destination,FLOW duration,FLOW packet count,FLOW bytes count,FLOW TX time difference median,FLOW TX time difference variance,FLOW packet length median,FLOW packet length variance,FLOW to router or broadcast,FLOW response time median,FLOW response time variance,FLOW response time average,FLOW response time min,FLOW response time max,FLOW label
84.1,78:0c:b8:8b:4d:90,50:c7:bf:51:1e:3f,0.166977,50,5100,0.002952,1.3587317634319E-06,102,0,1,0.001795,1.2799622676E-06,0.00225482,0.001642,0.007893,0
8.1,78:0c:b8:8b:4d:90,50:c7:bf:51:1e:3f,0.172825,50,5100,0.003001,1.08588081466056E-06,102,0,1,0.001852,1.06221583673469E-06,0.002408428571429,0.001726,0.005584,0
21.1,78:0c:b8:8b:4d:90,50:c7:bf:51:1e:3f,0.17121,50,5100,0.002982,9.49991830070804E-07,102,0,1,0.0018605,9.294057204E-07,0.00238386,0.001723,0.005855,0
71.1,78:0c:b8:8b:4d:90,50:c7:bf:51:1e:3f,0.186874,50,5100,0.003024,3.17100667471887E-06,102,0,1,0.001839,3.1251632016E-06,0.00260472,0.001761,0.011979,0
57.1,78:0c:b8:8b:4d:90,50:c7:bf:51:1e:3f,0.043805,13,1326,0.0030165,1.67304874305556E-06,102,0,1,0.0018615,1.73011755555556E-06,0.002509333333333,0.001802,0.006342,0
56.1,78:0c:b8:8b:4d:90,50:c7:bf:51:1e:3f,0.176659,50,5100,0.002998,2.24825175510204E-06,102,0,1,0.001857,2.28116136276551E-06,0.002496326530612,0.001789,0.011631,0
93.1,78:0c:b8:8b:4d:90,50:c7:bf:51:1e:3f,0.360679,50,5100,0.004846,9.03079364073303E-05,102,0,1,0.001937,8.91546582207414E-05,0.00502006122449,0.001644,0.064803,1
88.1,78:0c:b8:8b:4d:90,50:c7:bf:51:1e:3f,0.178602,50,5100,0.003009,1.84500050645564E-06,102,0,1,0.001852,1.77567984506456E-06,0.002486693877551,0.001726,0.008482,0
24.1,78:0c:b8:8b:4d:90,50:c7:bf:51:1e:3f,0.175587,50,5100,0.003045,1.3527751395252E-06,102,0,1,0.001842,1.3061044964E-06,0.00241294,0.001724,0.007682,0
24.1,78:0c:b8:8b:4d:90,50:c7:bf:51:1e:3f,0.176828,50,5100,0.002964,1.85745848063307E-06,102,0,1,0.001868,1.85114793E-06,0.0025343,0.001741,0.008772,0
